time,efoi
0,0
9,0
10,3.3E-05
11,4.35E-05
12,5.31E-05
13,6.17E-05
14,8.69E-05
15,9.77E-05
16,0.000162873
17,0.000180634
22,0.00019719
23,0.000146076
24,0.000126143
25,0.00016329
26,0.000171994
27,0.000211616
30,0.000199876
31,0.000257873
32,0.000228316
34,0.00025227
35,0.000281447
36,0.000458295
37,0.000576224
38,0.000650681
39,0.000853833
40,0.000985498
41,0.00128834
42,0.00146485
43,0.00217069
44,0.00334277
45,0.00458633
46,0.00660002
47,0.00823856
48,0.0092701
49,0.0154796
50,0.0186948
51,0.0223737
52,0.0309435
53,0.0341368
54,0.0490406
55,0.0489382
56,0.0590085
57,0.0557818
58,0.0714875
60,0.0730412
61,0.0847426
62,0.108861
63,0.13042
64,0.156544
65,0.135283
67,0.135093
68,0.0863757
69,0.0446233
70,0.02338
71,0
184,0
185,0.000570252
186,0.00101553
187,0.0025514
188,0.00205187
189,0.00154642
190,0.002102
191,0.00265186
192,0.00300568
193,0.00153214
194,0.00205574
195,0.00368028
196,0.00408375
197,0.00438279
198,0.00574603
199,0.00692062
200,0.00975078
201,0.00813131
202,0.00918413
203,0.0111398
207,0.0100201
209,0.0117292
210,0.0145076
212,0.0162205
213,0.0178054
214,0.02249
216,0.0266172
217,0.0208342
220,0.0220255
223,0.0189119
225,0.0223208
226,0.0255913
227,0.0302443
229,0.0335892
230,0.0375348
233,0.038996
234,0.0313556
240,0.0300176
241,0.0349566
243,0.0404825
245,0.036385
248,0.0371932
249,0.032781
250,0.0281194
254,0.027466
255,0.0162041
256,0.0142783
257,0.0109697
258,0.00527059
259,0.00190728
260,0.000123333
261,0
262,0.00617061
263,0.00432544
264,0.00258285
265,0.00220628
266,0
417,0
418,0.00505794
419,0.00631492
420,0.00759726
421,0.00921308
422,0.0106501
423,0.0111893
424,0.0143641
425,0.0154599
426,0.0180373
427,0.0201335
430,0.0238572
432,0.0262771
433,0.0290423
434,0.032021
438,0.0361379
443,0.0397576
448,0.0447421
452,0.0500068
473,0.0448927
477,0.0403779
482,0.0352126
485,0.0304365
489,0.0264358
492,0.0236461
495,0.0207173
499,0.0182081
503,0.0155557
508,0.0139857
514,0.0124787
516,0.0110588
517,0.0104986
518,0.00937338
523,0.00852113
527,0.00739484
528,0.00660877
529,0.00592797
